일자,기관 합계,기타법인,개인,외국인 합계,전체
"2025/11/07","-349721.0","-15319.0","761995.0","-396955.0","0.0"
"2025/11/06","836156.0","-39633.0","1014126.0","-1810649.0","0.0"
"2025/11/05","-140880.0","-310163.0","3118873.0","-2667830.0","0.0"
"2025/11/04","-332509.0","-3145.0","2335540.0","-1999886.0","0.0"
"2025/11/03","187373.0","-58728.0","283247.0","-411892.0","0.0"
"2025/10/31","-962022.0","-17095.0","-537479.0","1516596.0","0.0"
"2025/10/30","-873394.0","-31977.0","838046.0","67324.0","0.0"
"2025/10/29","463018.0","-99997.0","-294737.0","-68283.0","0.0"
"2025/10/28","117653.0","-44486.0","1722611.0","-1795778.0","0.0"
"2025/10/27","421905.0","-215168.0","-1091439.0","884702.0","0.0"
"2025/10/24","1567493.0","-65838.0","-2112564.0","610909.0","0.0"
"2025/10/23","-410573.0","19664.0","915488.0","-524579.0","0.0"
"2025/10/22","674853.0","1790.0","93281.0","-769923.0","0.0"
"2025/10/21","152023.0","-122940.0","25570.0","-54653.0","0.0"
"2025/10/20","710552.0","6430.0","-607950.0","-109032.0","0.0"
"2025/10/17","-292906.0","23784.0","-225033.0","494155.0","0.0"
"2025/10/16","545199.0","-70177.0","-1045645.0","570622.0","0.0"
"2025/10/15","812941.0","51942.0","-1078139.0","213256.0","0.0"
"2025/10/14","-743393.0","71901.0","227158.0","444334.0","0.0"
"2025/10/13","-458604.0","101151.0","1272271.0","-914818.0","0.0"
"2025/10/10","-680783.0","11281.0","-633130.0","1302633.0","0.0"
"2025/10/02","-54713.0","-4038.0","-3134529.0","3193279.0","0.0"
"2025/10/01","221245.0","515.0","-1095989.0","874229.0","0.0"
"2025/09/30","-24640.0","21099.0","164066.0","-160525.0","0.0"
"2025/09/29","438034.0","-23610.0","-975334.0","560909.0","0.0"
"2025/09/26","-480159.0","-45228.0","1179868.0","-654482.0","0.0"
"2025/09/25","155972.0","27524.0","-434084.0","250588.0","0.0"
"2025/09/24","44519.0","22530.0","436344.0","-503392.0","0.0"
"2025/09/23","-216118.0","27782.0","-25671.0","214007.0","0.0"
"2025/09/22","285938.0","-164766.0","-645469.0","524297.0","0.0"
"2025/09/19","-256364.0","79727.0","274621.0","-97984.0","0.0"
"2025/09/18","590712.0","53732.0","-982608.0","338164.0","0.0"
"2025/09/17","-420162.0","80370.0","537596.0","-197804.0","0.0"
"2025/09/16","63170.0","-150283.0","-1492035.0","1579148.0","0.0"
"2025/09/15","-178791.0","-35524.0","11199.0","203115.0","0.0"
"2025/09/12","708333.0","-33992.0","-2298067.0","1623726.0","0.0"
"2025/09/11","852271.0","10458.0","-1096468.0","233738.0","0.0"
"2025/09/10","969132.0","-31611.0","-2398335.0","1460815.0","0.0"
"2025/09/09","276437.0","76751.0","-1057344.0","704155.0","0.0"
"2025/09/08","128410.0","73431.0","-397108.0","195267.0","0.0"
"2025/09/05","145516.0","71958.0","-125130.0","-92343.0","0.0"
"2025/09/04","10400.0","92330.0","-391569.0","288839.0","0.0"
"2025/09/03","-383822.0","91611.0","-164804.0","457015.0","0.0"
"2025/09/02","-119963.0","75559.0","-435120.0","479524.0","0.0"
"2025/09/01","-190268.0","101564.0","416441.0","-327736.0","0.0"
"2025/08/29","107421.0","58052.0","256772.0","-422245.0","0.0"
"2025/08/28","306544.0","82559.0","-306464.0","-82639.0","0.0"
"2025/08/27","16826.0","98855.0","176503.0","-292184.0","0.0"
"2025/08/26","-298076.0","82671.0","738760.0","-523356.0","0.0"
"2025/08/25","236817.0","83755.0","-669743.0","349172.0","0.0"
"2025/08/22","146357.0","94396.0","-488163.0","247410.0","0.0"
"2025/08/21","74446.0","104993.0","-96509.0","-82930.0","0.0"
"2025/08/20","416762.0","86742.0","-242495.0","-261008.0","0.0"
"2025/08/19","193170.0","90467.0","130860.0","-414498.0","0.0"
"2025/08/18","-37580.0","44965.0","521322.0","-528706.0","0.0"
"2025/08/14","21394.0","101389.0","-86326.0","-36457.0","0.0"
"2025/08/13","-55515.0","99728.0","-688343.0","644130.0","0.0"
