번호,종목명,평가액 (억원),자산군 내 비중, 지분율
1,APPLE INC,"74,030 ",3.07%,0.28%
2,MICROSOFT CORP,"63,855 ",2.65%,0.28%
3,ALPHABET INC CL A,"26,432 ",1.10%,0.40%
4,AMAZON.COM INC,"25,673 ",1.07%,0.24%
5,UNITEDHEALTH GROUP INC,"25,065 ",1.04%,0.40%
6,ALPHABET INC CL C,"22,584 ",0.94%,0.33%
7,INVESCO PUREBETA MSCI USA ETF,"22,209 ",0.92%,80.43%
8,EXXON MOBIL CORP,"16,809 ",0.70%,0.29%
9,JOHNSON + JOHNSON,"16,531 ",0.69%,0.28%
10,NESTLE SA REG,"16,094 ",0.67%,0.40%
11,NOVO NORDISK A/S B,"16,056 ",0.67%,0.54%
12,MASTERCARD INC   A,"15,847 ",0.66%,0.38%
13,TAIWAN SEMICONDUCTOR SP ADR,"15,837 ",0.66%,0.32%
14,ROCHE HOLDING AG GENUSSCHEIN,"15,223 ",0.63%,0.54%
15,NVIDIA CORP,"13,996 ",0.58%,0.31%
16,JPMORGAN CHASE + CO,"13,897 ",0.58%,0.28%
17,MERCK + CO. INC.,"13,222 ",0.55%,0.37%
18,PROCTER + GAMBLE CO/THE,"13,215 ",0.55%,0.29%
19,THE CIGNA GROUP,"11,336 ",0.47%,0.88%
20,META PLATFORMS INC CLASS A,"11,310 ",0.47%,0.33%
21,ISHARES CORE S+P 500 ETF,"11,233 ",0.47%,0.31%
22,CHEVRON CORP,"11,007 ",0.46%,0.25%
23,VISA INC CLASS A SHARES,"10,885 ",0.45%,0.25%
24,TAIWAN SEMICONDUCTOR MANUFAC,"10,884 ",0.45%,0.23%
25,MERCEDES BENZ GROUP AG,"10,862 ",0.45%,1.22%
26,HCA HEALTHCARE INC,"10,776 ",0.45%,1.25%
27,ELEVANCE HEALTH INC,"10,529 ",0.44%,0.68%
28,ORACLE CORP,"10,339 ",0.43%,0.37%
29,PEPSICO INC,"9,966 ",0.41%,0.32%
30,LVMH MOET HENNESSY LOUIS VUI,"9,833 ",0.41%,0.21%
31,AIA GROUP LTD,"9,823 ",0.41%,0.59%
32,TENCENT HOLDINGS LTD,"9,729 ",0.40%,0.19%
33,NOVARTIS AG REG,"9,472 ",0.39%,0.34%
34,TESLA INC,"9,340 ",0.39%,0.19%
35,ASML HOLDING NV,"9,151 ",0.38%,0.33%
36,BOOKING HOLDINGS INC,"9,103 ",0.38%,0.92%
37,BERKSHIRE HATHAWAY INC CL B,"9,095 ",0.38%,0.18%
38,HOME DEPOT INC,"8,965 ",0.37%,0.22%
39,DANAHER CORP,"8,919 ",0.37%,0.36%
40,MEDTRONIC PLC,"8,884 ",0.37%,0.68%
41,BANK OF AMERICA CORP,"8,774 ",0.36%,0.26%
42,AUTOMATIC DATA PROCESSING,"8,590 ",0.36%,0.68%
43,CISCO SYSTEMS INC,"8,417 ",0.35%,0.34%
44,THERMO FISHER SCIENTIFIC INC,"8,323 ",0.35%,0.30%
45,ACCENTURE PLC CL A,"8,160 ",0.34%,0.37%
46,NORTHROP GRUMMAN CORP,"8,151 ",0.34%,0.77%
47,ALIBABA GROUP HOLDING LTD,"8,131 ",0.34%,0.27%
48,ELI LILLY + CO,"8,087 ",0.34%,0.18%
49,BNP PARIBAS,"8,051 ",0.33%,0.91%
50,ADOBE INC,"8,002 ",0.33%,0.40%
51,COSTCO WHOLESALE CORP,"7,916 ",0.33%,0.31%
52,PFIZER INC,"7,734 ",0.32%,0.21%
53,TEXAS INSTRUMENTS INC,"7,653 ",0.32%,0.40%
54,COMCAST CORP CLASS A,"7,610 ",0.32%,0.40%
55,WELLS FARGO + CO,"7,605 ",0.32%,0.38%
56,NIKE INC  CL B,"7,510 ",0.31%,0.41%
57,INTUITIVE SURGICAL INC,"7,412 ",0.31%,0.62%
58,MICRON TECHNOLOGY INC,"7,409 ",0.31%,1.07%
59,ABBVIE INC,"7,348 ",0.30%,0.20%
60,KEYENCE CORP,"7,338 ",0.30%,0.61%
61,COMPASS GROUP PLC,"6,819 ",0.28%,1.33%
62,BROADCOM INC,"6,669 ",0.28%,0.23%
63,TJX COMPANIES INC,"6,615 ",0.27%,0.57%
64,SHELL PLC,"6,603 ",0.27%,0.27%
65,UNILEVER PLC,"6,549 ",0.27%,0.41%
66,DEERE + CO,"6,530 ",0.27%,0.40%
67,ING GROEP NV,"6,516 ",0.27%,1.14%
68,VANGUARD FTSE ALL WORLD EX US,"6,477 ",0.27%,1.57%
69,CONOCOPHILLIPS,"6,461 ",0.27%,0.35%
70,COCA COLA CO/THE,"6,397 ",0.27%,0.18%
71,TOTALENERGIES SE,"6,332 ",0.26%,0.30%
72,WALMART INC,"6,031 ",0.25%,0.12%
73,SANOFI,"5,949 ",0.25%,0.39%
74,SCHWAB (CHARLES) CORP,"5,868 ",0.24%,0.31%
75,NETFLIX INC,"5,789 ",0.24%,0.35%
76,BAYERISCHE MOTOREN WERKE AG,"5,697 ",0.24%,0.84%
77,LINDE PLC,"5,655 ",0.23%,0.28%
78,ASTRAZENECA PLC,"5,500 ",0.23%,0.21%
79,AON PLC CLASS A,"5,449 ",0.23%,0.69%
80,SIEMENS AG REG,"5,389 ",0.22%,0.36%
81,PHILIP MORRIS INTERNATIONAL,"5,219 ",0.22%,0.26%
82,KERING,"5,202 ",0.22%,0.65%
83,GOLDMAN SACHS GROUP INC,"5,144 ",0.21%,0.35%
84,WALT DISNEY CO/THE,"5,072 ",0.21%,0.25%
85,SALESFORCE INC,"5,069 ",0.21%,0.30%
86,BHP GROUP LTD,"5,059 ",0.21%,0.25%
87,L OREAL,"5,043 ",0.21%,0.21%
88,FISERV INC,"5,000 ",0.21%,0.61%
89,GILEAD SCIENCES INC,"4,975 ",0.21%,0.36%
90,MEITUAN CLASS B,"4,934 ",0.20%,0.31%
91,PRUDENTIAL PLC,"4,928 ",0.20%,1.04%
92,S+P GLOBAL INC,"4,922 ",0.20%,0.36%
93,DIAGEO PLC,"4,905 ",0.20%,0.39%
94,SUNCOR ENERGY INC,"4,900 ",0.20%,0.91%
95,ALLIANZ SE REG,"4,896 ",0.20%,0.44%
96,MORGAN STANLEY,"4,887 ",0.20%,0.27%
97,AMERICAN EXPRESS CO,"4,883 ",0.20%,0.35%
98,BRISTOL MYERS SQUIBB CO,"4,880 ",0.20%,0.25%
99,VERIZON COMMUNICATIONS INC,"4,868 ",0.20%,0.23%
100,T MOBILE US INC,"4,842 ",0.20%,0.22%
101,HEINEKEN NV,"4,816 ",0.20%,0.70%
102,SCHLUMBERGER LTD,"4,816 ",0.20%,0.50%
103,ILLUMINA INC,"4,789 ",0.20%,1.19%
104,ABBOTT LABORATORIES,"4,782 ",0.20%,0.20%
105,SUMITOMO MITSUI FINANCIAL GR,"4,770 ",0.20%,0.68%
106,STRYKER CORP,"4,769 ",0.20%,0.41%
107,ADYEN NV,"4,678 ",0.19%,0.87%
108,AMPHENOL CORP CL A,"4,648 ",0.19%,0.81%
109,SCHNEIDER ELECTRIC SE,"4,636 ",0.19%,0.46%
110,CANADIAN NATL RAILWAY CO,"4,603 ",0.19%,0.45%
111,BECTON DICKINSON AND CO,"4,561 ",0.19%,0.50%
112,AIR PRODUCTS + CHEMICALS INC,"4,541 ",0.19%,0.52%
113,ALIMENTATION COUCHE TARD INC,"4,414 ",0.18%,0.79%
114,MCDONALD S CORP,"4,408 ",0.18%,0.18%
115,CSL LTD,"4,405 ",0.18%,0.37%
116,EDWARDS LIFESCIENCES CORP,"4,372 ",0.18%,0.75%
117,AT+T INC,"4,173 ",0.17%,0.25%
118,TE CONNECTIVITY LTD,"4,171 ",0.17%,0.90%
119,MODERNA INC,"4,165 ",0.17%,0.48%
120,DEXCOM INC,"4,145 ",0.17%,0.75%
121,HALLIBURTON CO,"4,142 ",0.17%,0.91%
122,MARATHON PETROLEUM CORP,"4,140 ",0.17%,0.60%
123,INTUIT INC,"4,132 ",0.17%,0.30%
124,DAIMLER TRUCK HOLDING AG,"4,106 ",0.17%,1.27%
125,SERVICENOW INC,"4,097 ",0.17%,0.41%
126,MARSH + MCLENNAN COS,"4,074 ",0.17%,0.39%
127,AMGEN INC,"4,027 ",0.17%,0.23%
128,RAYTHEON TECHNOLOGIES CORP,"4,022 ",0.17%,0.21%
129,UBS GROUP AG REG,"4,010 ",0.17%,0.48%
130,CME GROUP INC,"4,005 ",0.17%,0.52%
131,LAM RESEARCH CORP,"3,989 ",0.17%,0.55%
132,UNION PACIFIC CORP,"3,970 ",0.16%,0.25%
133,BAYER AG REG,"3,959 ",0.16%,0.62%
134,HONEYWELL INTERNATIONAL INC,"3,940 ",0.16%,0.22%
135,QUALCOMM INC,"3,927 ",0.16%,0.25%
136,HSBC HOLDINGS PLC,"3,921 ",0.16%,0.25%
137,CHUBB LTD,"3,913 ",0.16%,0.34%
138,SHIN ETSU CHEMICAL CO LTD,"3,880 ",0.16%,0.61%
139,SAP SE,"3,829 ",0.16%,0.24%
140,NEXTERA ENERGY INC,"3,824 ",0.16%,0.18%
141,LOWE S COS INC,"3,791 ",0.16%,0.25%
142,AIRBUS SE,"3,777 ",0.16%,0.32%
143,ANHEUSER BUSCH INBEV SA/NV,"3,770 ",0.16%,0.29%
144,LLOYDS BANKING GROUP PLC,"3,663 ",0.15%,0.79%
145,BP PLC,"3,643 ",0.15%,0.28%
146,ENBRIDGE INC,"3,635 ",0.15%,0.36%
147,ADVANCED MICRO DEVICES,"3,635 ",0.15%,0.27%
148,IQVIA HOLDINGS INC,"3,614 ",0.15%,0.75%
149,ESTEE LAUDER COMPANIES CL A,"3,604 ",0.15%,0.50%
150,ESSILORLUXOTTICA,"3,600 ",0.15%,0.35%
151,CITIGROUP INC,"3,596 ",0.15%,0.32%
152,CVS HEALTH CORP,"3,595 ",0.15%,0.23%
153,INTERPUBLIC GROUP OF COS INC,"3,583 ",0.15%,2.18%
154,HESS CORP,"3,570 ",0.15%,0.64%
155,UNITED PARCEL SERVICE CL B,"3,533 ",0.15%,0.22%
156,BLACKROCK INC,"3,520 ",0.15%,0.26%
157,COLGATE PALMOLIVE CO,"3,517 ",0.15%,0.42%
158,COGNIZANT TECH SOLUTIONS A,"3,504 ",0.15%,0.94%
159,INVESCO MSCI USA UCITS ETF,"3,496 ",0.15%,9.13%
160,NXP SEMICONDUCTORS NV,"3,486 ",0.14%,0.67%
161,IBERDROLA SA,"3,458 ",0.14%,0.37%
162,TOYOTA MOTOR CORP,"3,449 ",0.14%,0.12%
163,WORKDAY INC CLASS A,"3,438 ",0.14%,0.80%
164,PDD HOLDINGS INC,"3,425 ",0.14%,0.26%
165,VERTEX PHARMACEUTICALS INC,"3,414 ",0.14%,0.36%
166,HOUSING DEVELOPMENT FINANCE,"3,413 ",0.14%,0.46%
167,BANK OF NEW YORK MELLON CORP,"3,356 ",0.14%,0.72%
168,NEXT FUNDS TOPIX EXCHANGE TRAD,"3,350 ",0.14%,0.22%
169,INTL BUSINESS MACHINES CORP,"3,341 ",0.14%,0.21%
170,STARBUCKS CORP,"3,334 ",0.14%,0.23%
171,SEVEN + I HOLDINGS CO LTD,"3,316 ",0.14%,0.69%
172,INTEL CORP,"3,309 ",0.14%,0.24%
173,MARKETAXESS HOLDINGS INC,"3,304 ",0.14%,2.48%
174,LYXOR CAC 40 DR UCITS ETF,"3,284 ",0.14%,8.49%
175,PAYCHEX INC,"3,284 ",0.14%,0.62%
176,VALERO ENERGY CORP,"3,268 ",0.14%,0.53%
177,L3HARRIS TECHNOLOGIES INC,"3,266 ",0.14%,0.65%
178,PROSUS NV,"3,265 ",0.14%,0.19%
179,ISHARES S+P/TSX 60 INDEX ETF,"3,258 ",0.14%,3.28%
180,SYNOPSYS INC,"3,255 ",0.14%,0.53%
181,WILLIS TOWERS WATSON PLC,"3,238 ",0.13%,0.97%
182,GLENCORE PLC,"3,236 ",0.13%,0.30%
183,PROLOGIS INC,"3,227 ",0.13%,0.24%
184,EOG RESOURCES INC,"3,226 ",0.13%,0.33%
185,DBS GROUP HOLDINGS LTD,"3,183 ",0.13%,0.39%
186,GENERAL MOTORS CO,"3,136 ",0.13%,0.52%
187,DANONE,"3,123 ",0.13%,0.69%
188,SYSCO CORP,"3,093 ",0.13%,0.63%
189,RIO TINTO PLC,"3,077 ",0.13%,0.28%
190,SONY GROUP CORP,"3,072 ",0.13%,0.25%
191,CATERPILLAR INC,"3,041 ",0.13%,0.19%
192,BOEING CO/THE,"3,031 ",0.13%,0.21%
193,CIE FINANCIERE RICHEMO A REG,"3,030 ",0.13%,0.35%
194,FREEPORT MCMORAN INC,"3,026 ",0.13%,0.44%
195,CHINA CONSTRUCTION BANK H,"3,014 ",0.13%,0.16%
196,HERMES INTERNATIONAL,"3,014 ",0.13%,0.15%
197,FASTENAL CO,"3,013 ",0.13%,0.88%
198,TORONTO DOMINION BANK,"3,007 ",0.12%,0.20%
199,MITSUBISHI UFJ FINANCIAL GRO,"2,994 ",0.12%,0.27%
200,HUMANA INC,"2,990 ",0.12%,0.36%
201,WATERS CORP,"2,983 ",0.12%,1.16%
202,BRITISH AMERICAN TOBACCO PLC,"2,976 ",0.12%,0.27%
203,AXA SA,"2,970 ",0.12%,0.36%
204,STATE STREET CORP,"2,956 ",0.12%,0.82%
205,LOCKHEED MARTIN CORP,"2,954 ",0.12%,0.18%
206,CHARTER COMMUNICATIONS INC A,"2,937 ",0.12%,0.44%
207,EXPERIAN PLC,"2,924 ",0.12%,0.74%
208,BAE SYSTEMS PLC,"2,921 ",0.12%,0.73%
209,APPLIED MATERIALS INC,"2,898 ",0.12%,0.28%
210,PIONEER NATURAL RESOURCES CO,"2,865 ",0.12%,0.42%
211,OMNICOM GROUP,"2,843 ",0.12%,1.35%
212,COMMONWEALTH BANK OF AUSTRAL,"2,842 ",0.12%,0.19%
213,PERNOD RICARD SA,"2,812 ",0.12%,0.44%
214,WOLTERS KLUWER,"2,798 ",0.12%,0.82%
215,BOSTON SCIENTIFIC CORP,"2,789 ",0.12%,0.33%
216,FIDELITY NATIONAL INFO SERV,"2,768 ",0.11%,0.54%
217,MOODY S CORP,"2,750 ",0.11%,0.43%
218,RECKITT BENCKISER GROUP PLC,"2,715 ",0.11%,0.43%
219,ENI SPA,"2,714 ",0.11%,0.42%
220,GSK PLC,"2,699 ",0.11%,0.30%
221,HENKEL AG + CO KGAA VOR PREF,"2,698 ",0.11%,1.72%
222,MCKESSON CORP,"2,684 ",0.11%,0.40%
223,APTIV PLC,"2,680 ",0.11%,0.84%
224,EATON CORP PLC,"2,672 ",0.11%,0.34%
225,T ROWE PRICE GROUP INC,"2,660 ",0.11%,0.86%
226,NATIONAL GRID PLC,"2,660 ",0.11%,0.48%
227,ROYAL BANK OF CANADA,"2,647 ",0.11%,0.16%
228,HP INC,"2,637 ",0.11%,0.79%
229,AMERICAN INTERNATIONAL GROUP,"2,634 ",0.11%,0.44%
230,AUTOZONE INC,"2,633 ",0.11%,0.45%
231,PAYPAL HOLDINGS INC,"2,633 ",0.11%,0.26%
232,YUM CHINA HOLDINGS INC,"2,616 ",0.11%,0.90%
233,VINCI SA,"2,590 ",0.11%,0.35%
234,ZOETIS INC,"2,589 ",0.11%,0.30%
235,TRUIST FINANCIAL CORP,"2,582 ",0.11%,0.36%
236,HEWLETT PACKARD ENTERPRISE,"2,581 ",0.11%,1.00%
237,JULIUS BAER GROUP LTD,"2,574 ",0.11%,1.63%
238,ATLAS COPCO AB A SHS,"2,561 ",0.11%,0.51%
239,ANALOG DEVICES INC,"2,560 ",0.11%,0.24%
240,FORTINET INC,"2,545 ",0.11%,0.53%
241,BANK OF NOVA SCOTIA,"2,517 ",0.10%,0.34%
242,RELIANCE INDUSTRIES LTD,"2,516 ",0.10%,0.10%
243,AMERICAN TOWER CORP,"2,500 ",0.10%,0.20%
244,MONDELEZ INTERNATIONAL INC A,"2,493 ",0.10%,0.22%
245,FANUC CORP,"2,468 ",0.10%,0.64%
246,COSTAR GROUP INC,"2,433 ",0.10%,0.61%
247,DUKE ENERGY CORP,"2,427 ",0.10%,0.24%
248,UNITED OVERSEAS BANK LTD,"2,390 ",0.10%,0.49%
249,ALLSTATE CORP,"2,388 ",0.10%,0.52%
250,INDUSTRIA DE DISENO TEXTIL,"2,358 ",0.10%,0.23%
251,ALTRIA GROUP INC,"2,344 ",0.10%,0.23%
252,CANADIAN NATURAL RESOURCES,"2,339 ",0.10%,0.30%
253,HITACHI LTD,"2,305 ",0.10%,0.38%
254,CUMMINS INC,"2,299 ",0.10%,0.53%
255,CSX CORP,"2,295 ",0.10%,0.28%
256,OCCIDENTAL PETROLEUM CORP,"2,292 ",0.10%,0.32%
